409.48	3.036	0.00274	0.00212	0.00176	0.00321	0.00263	0.0028	0.00277	0.00303	0.00318	0.00284	0.00225	0.00222	0.00239	0.00101	7.65268E-4	-2.14918E-4	0.00234	0.00143	7.55478E-4	7.24942E-4
409.89	3.033	0.00222	0.00235	0.00161	0.0034	0.00273	0.00277	0.00283	0.00323	0.0033	0.00294	0.00216	0.00284	0.00241	6.5338E-4	8.11189E-4	-7.31235E-4	0.00145	0.00131	7.32634E-4	9.89277E-4
410.29	3.03	0.00205	0.00232	0.00143	0.00374	0.00281	0.00244	0.00277	0.0035	0.00322	0.00309	0.00254	0.0031	0.00258	9.44522E-4	8.78089E-4	-0.00148	6.82284E-4	0.00137	9.32867E-4	0.00103
410.7	3.027	0.00175	0.00213	0.00156	0.00405	0.00306	0.00266	0.00288	0.00331	0.00334	0.00332	0.00273	0.00374	0.00274	0.00116	5.77389E-4	-0.00172	0.00104	0.00169	6.70163E-4	0.00129
411.11	3.024	0.00147	0.00184	0.00194	0.00376	0.00301	0.00288	0.0033	0.00336	0.00346	0.00336	0.00295	0.00396	0.00269	0.00171	5.49184E-4	-0.00218	0.0012	0.00189	7.8648E-4	0.00158
411.51	3.021	0.0016	0.00183	0.00206	0.0032	0.00305	0.00301	0.00358	0.00364	0.00362	0.00362	0.00335	0.00368	0.00293	0.00129	5.39394E-4	-0.00265	8.97902E-4	0.00173	8.51515E-4	0.00153
411.92	3.018	0.00181	0.00211	0.00227	0.00302	0.00303	0.00302	0.00347	0.00377	0.00368	0.00387	0.00366	0.00381	0.0033	0.00148	4.30536E-4	-0.00284	6.03963E-4	0.00174	9.26807E-4	0.00183
412.32	3.015	0.00211	0.00204	0.00232	0.00295	0.00328	0.00328	0.00359	0.00411	0.00362	0.00416	0.00402	0.00386	0.00355	0.00171	4.28205E-4	-0.00257	1.85082E-4	0.00152	9.7972E-4	0.00205
412.73	3.012	0.00224	0.00206	0.0022	0.00266	0.00305	0.00346	0.00376	0.00412	0.00355	0.00438	0.00408	0.00396	0.00324	0.00129	3.82517E-4	-0.00216	-2.41725E-4	0.0015	0.00135	0.00207
413.14	3.009	0.00215	0.00218	0.00227	0.00265	0.00307	0.00363	0.00392	0.00397	0.00355	0.00455	0.00428	0.00384	0.00321	0.00194	2.00932E-4	-0.00251	-5.35431E-4	0.00145	0.00129	0.00177
413.54	3.006	0.00207	0.00235	0.00241	0.00278	0.003	0.00344	0.00413	0.00386	0.00366	0.00456	0.00406	0.00401	0.00343	0.0023	3.51282E-4	-0.00318	-7.0676E-4	0.00118	0.00111	0.00126
